id,name,town,county,lat,long,description,website,category,sensitivity
370,Wicken Fen National Nature Reserve,Ely,Cambridgeshire,52.3101,0.29291,"The National Trust's oldest nature reserve, and England's most famous fen",https://www.nationaltrust.org.uk/visit/cambridgeshire/wicken-fen-national-nature-reserve,Nature reserves,5
365,Whipsnade Tree Cathedral,Dunstable,Bedfordshire,51.851636,-0.5358892,"Trees, hedges and shrubs planted in the form of a medieval cathedral",https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/whipsnade-tree-cathedral,Churches,4
17,Ashridge Estate,Near Berkhamsted,Hertfordshire,51.805599,-0.58542,"Ancient trees, rolling chalk downlands and lush meadows in an area of outstanding natural beauty",https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/ashridge-estate,Historic houses/mansions,3
262,Pitstone Windmill,Ivinghoe,Buckinghamshire,51.831402,-0.62699, A rare and striking example of an early form of post mill,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/pitstone-windmill,Mills,3
257,Paycocke's House and Garden,Colchester,Essex,51.87075,0.68338,A stunning Tudor merchant's house whose walls have more than a few stories to tell,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/paycockes-house-and-garden,Historic houses/mansions,3
86,Grange Barn,Colchester,Essex,51.869099,0.68332,13th-century monastic barn,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/grange-barn,Historic houses/mansions,3
14,Ascott,Wing near Leighton Buzzard,Buckinghamshire,51.902019,-0.700372,"Discover Ascott, where a historic home meets superb art collections, natural and formal gardens, and views across the Aylesbury Vale.",https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/ascott,Historic landscaped gardens,4
275,Ramsey Abbey Gatehouse,Huntingdon,Cambridgeshire,52.448502,-0.0997,Remains of a former Benedictine abbey,https://www.nationaltrust.org.uk/visit/cambridgeshire/ramsey-abbey-gatehouse,Castles,4
324,Sutton House and Breaker's Yard,Hackney,London,51.548,-0.04921,A fascinating Tudor house at the heart of a vibrant community,https://www.nationaltrust.org.uk/visit/london/sutton-house-and-breakers-yard,Historic houses/mansions,3
374,2 Willow Road,Hampstead,London,51.557499,-0.16861,Innovative and influential Modernist home from 1939,https://www.nationaltrust.org.uk/visit/london/2-willow-road,Pubs,2
129,Fenton House and Garden,Hampstead,London,51.558773,-0.180926,Handsome 17th-century house with unusual collections and picturesque walled gardens,https://www.nationaltrust.org.uk/visit/london/fenton-house-and-garden,Kitchen gardens,3
224,Melford Hall,Sudbury,Suffolk,52.0844,0.7281,"An eclectic home, with stories of naval exploits and Beatrix Potter set in picturesque gardens.",https://www.nationaltrust.org.uk/visit/suffolk/melford-hall,Historic houses/mansions,3
5326,Danbury Commons and Blakes Wood,Danbury,Essex,51.710061,0.576404,Explore Essex's second largest area of common land ,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/danbury-commons-and-blakes-wood,Historic houses/mansions,3
182,Ickworth Estate,Bury St Edmunds,Suffolk,52.220965,0.65704863,An Italianate Palace in the heart of Suffolk,https://www.nationaltrust.org.uk/visit/suffolk/ickworth-estate,Historic houses/mansions,3
121,Eastbury Manor House,Barking,Essex,51.534894,0.099462,"A striking Elizabethan gentry house with a remarkable history, set in tranquil heritage gardens",https://www.nationaltrust.org.uk/visit/london/eastbury-manor-house,Historic houses/mansions,3
274,Rainham Hall,Havering,London,51.521696,0.193162,"An elegant Georgian House with a diverse history, peaceful garden and changing exhibitions to explore.",https://www.nationaltrust.org.uk/visit/london/rainham-hall,Historic houses/mansions,3
139,George Inn,Southwark,London,51.503799,-0.08904,Last remaining galleried inn in London,https://www.nationaltrust.org.uk/visit/london/george-inn,Pubs,2
328,Theatre Royal Bury St Edmunds,Bury St Edmunds,Suffolk,52.24063,0.716911,The only surviving Regency playhouse in Britain,https://www.nationaltrust.org.uk/visit/suffolk/theatre-royal-bury-st-edmunds,Historic houses/mansions,3
196,Lavenham Guildhall,Sudbury,Suffolk,52.10876,0.79662,One of the most spectacular timber framed buildings of medieval England at the heart of village life,https://www.nationaltrust.org.uk/visit/suffolk/lavenham-guildhall,Historic houses/mansions,3
5330,Northey Island,Maldon,Essex,51.718012,0.702822,The closest you'll get to true wilderness in Essex,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/northey-island,Castles,4
64,Carlyle's House,Chelsea,London,51.484326,-0.170021,The Chelsea home of a Victorian literary couple,https://www.nationaltrust.org.uk/visit/london/carlyles-house,Castles,4
186,King's Head,Aylesbury,Buckinghamshire,51.8164723,-0.8135919,Historic ancient coaching inn in the heart of Aylesbury,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/kings-head,Pubs,2
6131,Chilterns Countryside,High Wycombe,Buckinghamshire,51.751671,-0.771511,"Rolling hills, distant views, chalk grassland, and acres of woodland to explore",https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/chilterns-countryside,Forests/Woodlands,5
4504,575 Wandsworth Road,London,London,51.46979,-0.140628,An extraordinary home and work of art,https://www.nationaltrust.org.uk/visit/london/575-wandsworth-road,Historic houses/mansions,3
2503,Red House,Bexleyheath,London,51.455623,0.13025478,Iconic Arts and Crafts home of William and Jane Morris and the centre of the Pre-Raphaelite circle.,https://www.nationaltrust.org.uk/visit/london/red-house,Historic houses/mansions,3
251,Osterley Park and House,Isleworth,Middlesex,51.489498,-0.35289,A Georgian country estate in west London,https://www.nationaltrust.org.uk/visit/london/osterley-park-and-house,Historic houses/mansions,3
276,Rayleigh Mount,Rayleigh,Essex,51.587898,0.60605,"The site of a medieval castle, now a green oasis for wildlife ",https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/rayleigh-mount,Castles,4
5327,Copt Hall Marshes,Little Wigborough,Essex,51.795619,0.869801,Explore the beautiful Blackwater Estuary,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/copt-hall-marshes,Historic houses/mansions,3
216,Lyveden,near Oundle,Northamptonshire,52.4623,-0.5582,Intriguing Elizabethan lodge and moated garden,https://www.nationaltrust.org.uk/visit/leicestershire-northamptonshire/lyveden,Historic houses/mansions,3
39,Bourne Mill,Colchester,Essex,51.875999,0.91378,Picturesque watermill with working waterwheel.,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/bourne-mill,Mills,3
181,Hughenden,High Wycombe,Buckinghamshire,51.650214,-0.7565552,Country home of the Victorian statesman Benjamin Disraeli,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/hughenden,Historic houses/mansions,3
159,Ham House and Garden,Richmond,Surrey,51.443199,-0.31505,A unique 17th-century treasure trove ,https://www.nationaltrust.org.uk/visit/london/ham-house-and-garden,Castles,4
349,Waddesdon,near Aylesbury,Buckinghamshire,51.845406,-0.925868,"French Renaissance-style château with an extensive art collection, landscaped gardens, aviary and woodland playground. ",https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/waddesdon,Historic landscaped gardens,4
81,Claydon,near Buckingham,Buckinghamshire,51.924599,-0.95617,Splendid eighteenth-century English interiors in an idyllic country setting,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/claydon-house,Historic houses/mansions,3
900024,Ray Island,,,51.7946014,0.90696331,A tiny island making a big difference to the wildlife of Essex,https://www.nationaltrust.org.uk/visit/essex-bedfordshire-hertfordshire/ray-island,Historic houses/mansions,3
109,Dorneywood Garden,Burnham,Buckinghamshire,51.5546,-0.64688,"1930s-style garden, with herbaceous borders, cottage garden and lily pond",https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/dorneywood-garden,Cottages,2
6074,Petts Wood and Hawkwood,Chislehurst,Kent,51.398808,0.082993,An oasis of peace and tranquillity only 13 miles south-east from the centre of London. Pedestrian access to Petts Wood and Hawkwood through the Hazlemere Road underpass. ,https://www.nationaltrust.org.uk/visit/kent/petts-wood-and-hawkwood,Forests/Woodlands,5
56,Buckingham Chantry Chapel,Buckingham,Buckinghamshire,52.000999,-0.98665,"The oldest building in Buckingham, restored by Gilbert Scott in 1875",https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/buckingham-chantry-chapel,Shops,2
287,St. John's Jerusalem,Dartford,Kent,51.4095,0.24053,Tranquil garden and 13th-century chapel,https://www.nationaltrust.org.uk/visit/kent/st-johns-jerusalem,Churches,4
229,Morden Hall Park,Morden,London,51.400611,-0.188722,A green oasis in the city at the heart of the community. ,https://www.nationaltrust.org.uk/visit/london/morden-hall-park,Historic houses/mansions,3
360,"West Wycombe Park, Village and Hill",West Wycombe,Buckinghamshire,51.641701,-0.80065,The elegant Palladian home of the Dashwood family and historic village,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/west-wycombe-park-village-and-hill,Forests/Woodlands,5
82,Cliveden,Maidenhead,Buckinghamshire,51.556596,-0.681394,Glorious gardens and woodlands overlooking the River Thames,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/cliveden,Forests/Woodlands,5
318,Stowe Gardens,Buckingham,Buckinghamshire,52.022154,-1.00785,Gardening on the grandest scale in this Georgian landscape garden and park,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/stowe-gardens,Parks and open spaces,3
6119,Maidenhead and Cookham Commons,Maidenhead,Berkshire,51.559538,-0.714663,An historic landscape full of natural beauty,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/maidenhead-and-cookham-commons,Historic houses/mansions,3
131,Flatford,East Bergholt,Suffolk,51.957802,1.0261,"Discover the views that John Constable painted in the hamlet of Flatford, set within the Dedham Vale countryside",https://www.nationaltrust.org.uk/visit/suffolk/flatford,Historic houses/mansions,3
210,Long Crendon Courthouse,Aylesbury,Buckinghamshire,51.775002,-0.98567,Medieval courthouse situated in an idyllic English village,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/long-crendon-courthouse,Historic houses/mansions,3
253,Owletts,Gravesend,Kent,51.39313,0.391894,Family home of the renowned architect Sir Herbert Baker,https://www.nationaltrust.org.uk/visit/kent/owletts,Historic houses/mansions,3
284,Runnymede and Ankerwycke,near Old Windsor,Surrey,51.44799,-0.566896,"The birthplace of the Magna Carta. History, art and nature on the banks of the River Thames. ",https://www.nationaltrust.org.uk/visit/surrey/runnymede-and-ankerwycke,Historic houses/mansions,3
2593,Cobham Wood and Mausoleum,,Kent,51.38846,0.433238,"Restored 18th-century mausoleum, set in peaceful wood pasture",https://www.nationaltrust.org.uk/visit/kent/cobham-wood-and-mausoleum,Forests/Woodlands,5
258,Peckover House and Garden,Wisbech,Cambridgeshire,52.665487,0.154538,Elegant Georgian town house with wonderful walled garden,https://www.nationaltrust.org.uk/visit/cambridgeshire/peckover-house-and-garden,Kitchen gardens,3
254,Oxburgh Estate,near Swaffham,Norfolk,52.581215,0.5702691,"Home to the Bedingfeld family for 500 years, Oxburgh reveals one family's unshakable Catholic faith and story of endurance",https://www.nationaltrust.org.uk/visit/norfolk/oxburgh-estate,Historic houses/mansions,3
179,The Homewood,Esher,Surrey,51.356013,-0.381423,One architect's vision of the future,https://www.nationaltrust.org.uk/visit/surrey/the-homewood,Historic houses/mansions,3
80,Claremont Landscape Garden,Esher,Surrey,51.355785,-0.381433,This grade 1 listed garden created by the great landscape designers of the 18th century charts the evolution of the English Landscape Garden ,https://www.nationaltrust.org.uk/visit/surrey/claremont-landscape-garden,Historic houses/mansions,3
40,Boarstall Duck Decoy,near Bicester,Buckinghamshire,51.828999,-1.09014,A rare survival of a seventeenth-century duck decoy ,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/boarstall-duck-decoy,Historic houses/mansions,3
41,Boarstall Tower,near Bicester,Buckinghamshire,51.821301,-1.09333,Fourteenth-century moated gatehouse and beautiful gardens,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/boarstall-tower,Historic houses/mansions,3
267,"Priest's House, Easton on the Hill",near Stamford,Northamptonshire,52.629364,-0.5095124,Small pre-Reformation stone building,https://www.nationaltrust.org.uk/visit/leicestershire-northamptonshire/priests-house-easton-on-the-hill,Castles,4
6067,Coldrum Long Barrow,West Malling,Kent,51.32197,0.36661,Stunning views from the top of the barrow,https://www.nationaltrust.org.uk/visit/kent/coldrum-long-barrow,Castles,4
62,Canons Ashby,near Daventry,Northamptonshire,52.149502,-1.16034,"A tranquil Tudor manor house set in rare terraced gardens, with the 'antient' Dryden family at its heart",https://www.nationaltrust.org.uk/visit/leicestershire-northamptonshire/canons-ashby,Historic houses/mansions,3
273,Quebec House,Westerham,Kent,51.268002,0.07833,"Childhood home of General James Wolfe, victor of the Battle of Quebec (1759)",https://www.nationaltrust.org.uk/visit/kent/quebec-house,Castles,4
6071,Oldbury Hill,Ightham,Kent,51.2788,0.26221,Discover the remains of an Iron Age hill fort,https://www.nationaltrust.org.uk/visit/kent/oldbury-hill,Moors/Hills,4
193,Knole,Sevenoaks,Kent,51.267601,0.20122,Be part of a 400 year history of visiting Knole,https://www.nationaltrust.org.uk/visit/kent/knole,Historic houses/mansions,3
90003,The Royal Oak Foundation Conservation Studio,Sevenoaks,Kent,51.26717,0.19741,Conserving and preserving our history for the future.,https://www.nationaltrust.org.uk/visit/kent/the-royal-oak-foundation-conservation-studio,Historic houses/mansions,3
154,Greys Court,Henley-on-Thames,Oxfordshire,51.5452,-0.95151,"A family home, delightful gardens and an idyllic setting",https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/greys-court,Historic houses/mansions,3
6194,Pin Mill,near Chelmondiston,Suffolk,51.996323,1.213511,Enjoy a wander around Pin Mill and escape from it all,https://www.nationaltrust.org.uk/visit/suffolk/pin-mill,Mills,3
6123,Bookham Commons,Great Bookham,Surrey,51.289827,-0.3804575,"Ancient commons, mentioned in the Domesday Book, with grassland plains, mighty oak woods and serene ponds",https://www.nationaltrust.org.uk/visit/surrey/bookham-commons,Forests/Woodlands,5
6127,Limpsfield Common,Oxted,Surrey,51.250685,0.042615,Ancient common on the Greensand Ridge where time comes home to sleep,https://www.nationaltrust.org.uk/visit/surrey/limpsfield-common,Castles,4
123,Emmetts Garden,Sevenoaks,Kent,51.250599,0.11573,Interesting hillside garden with year-round features,https://www.nationaltrust.org.uk/visit/kent/emmetts-garden,Moors/Hills,4
6075,Toys Hill,,Kent,51.248285,0.101976,Discover the place that inspired Octavia Hill to found the National Trust,https://www.nationaltrust.org.uk/visit/kent/toys-hill,Moors/Hills,4
4521,Nuffield Place,near Henley-on-Thames,Oxfordshire,51.585772,-1.02099,The beloved home of one of the most prolific philanthropists of the 20th century,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/nuffield-place,Castles,4
72,Chartwell,Westerham,Kent,51.2459,0.083513,Family home and garden of Sir Winston Churchill,https://www.nationaltrust.org.uk/visit/kent/chartwell,Churches,4
5445,Reigate Hill and Gatton Park,Reigate,Surrey,51.25422,-0.200137,A spectacular escarpment with sweeping views across the Weald,https://www.nationaltrust.org.uk/visit/surrey/reigate-hill-and-gatton-park,Historic houses/mansions,3
6122,Headley Heath,Headley Heath,Surrey,51.26353606,-0.28147465,"A wonderful mix of open heathland, woodland and chalk downland",https://www.nationaltrust.org.uk/visit/surrey/headley-heath,Forests/Woodlands,5
6072,One Tree Hill,Sevenoaks,Kent,51.256654,0.232781,A beautiful slice of Kent countryside,https://www.nationaltrust.org.uk/visit/kent/one-tree-hill,Castles,4
183,Ightham Mote,Sevenoaks,Kent,51.258598,0.27088,"Outstanding 14th-century moated manor house, gardens and estate",https://www.nationaltrust.org.uk/visit/kent/ightham-mote,Historic houses/mansions,3
247,Old Soar Manor,Borough Green,Kent,51.263076,0.31999716,Remains of a late 13th-century knight's dwelling,https://www.nationaltrust.org.uk/visit/kent/old-soar-manor,Historic houses/mansions,3
265,Polesden Lacey,near Dorking,Surrey,51.261002,-0.36886,"A 1,600-acre estate with elegant gardens, Edwardian house and plenty of room to play",https://www.nationaltrust.org.uk/visit/surrey/polesden-lacey,Historic houses/mansions,3
44,Box Hill,Tadworth,Surrey,51.248901,-0.3101,So much to explore,https://www.nationaltrust.org.uk/visit/surrey/box-hill,Historic houses/mansions,3
5371,Denbies Hillside,near Dorking,Surrey,51.240398,-0.361131,Dramatic and stunning chalk escarpment with panoramic views,https://www.nationaltrust.org.uk/visit/surrey/denbies-hillside,Castles,4
286,St George's Guildhall,King's Lynn,Norfolk,52.755553,0.39351784,Rare large medieval guildhall,https://www.nationaltrust.org.uk/visit/norfolk/st-georges-guildhall,Historic houses/mansions,3
6121,Harewoods,Redhill,Surrey,51.20469344,-0.09928361,"Hidden woodlands, lush green meadows, tranquil ponds and an ancient common",https://www.nationaltrust.org.uk/visit/surrey/harewoods,Forests/Woodlands,5
162,Hatchlands Park,Guildford,Surrey,51.253544,-0.4776021,Stretches of sweeping parkland sheltering a classic country house,https://www.nationaltrust.org.uk/visit/surrey/hatchlands-park,Parks and open spaces,3
6211,Kyson Hill,Woodbridge,Suffolk,52.080922,1.309956,Escape from it all at Kyson Hill,https://www.nationaltrust.org.uk/visit/suffolk/kyson-hill,Moors/Hills,4
79,Clandon Park,Guildford,Surrey,51.252169,-0.505899,Conserving and caring for a great house laid bare,https://www.nationaltrust.org.uk/visit/surrey/clandon-park,Historic houses/mansions,3
5361,Chiddingstone Village,near Edenbridge,Kent,51.185947,0.1464504,One of the most beautiful and oldest villages in Kent,https://www.nationaltrust.org.uk/visit/kent/chiddingstone-village,Castles,4
900049,Simon's Wood and Finchampstead Ridges,Wokingham,Berkshire,51.364469,-0.8439893,"One of the National Trust’s oldest acquisitions, the Ridges and Wood are a paradise for wildlife. ",https://www.nationaltrust.org.uk/visit/surrey/simons-wood-and-finchampstead-ridges,Forests/Woodlands,5
6125,Holmwood Common,Holmwood,Surrey,51.20124286,-0.32673614,Ancient common once owned by King Harold and William the Conqueror,https://www.nationaltrust.org.uk/visit/surrey/holmwood-common,Historic houses/mansions,3
6120,Abinger Roughs and Netley Park,Abinger Hammer,Surrey,51.22138228,-0.43698789,"Hidden woods with ancient trees and flower-sprinkled grasslands, just off the North Downs and Pilgrims Ways",https://www.nationaltrust.org.uk/visit/surrey/abinger-roughs-and-netley-park,Forests/Woodlands,5
315,Stoneacre,Maidstone,Kent,51.2533,0.58178,Medieval yeoman's house and garden,https://www.nationaltrust.org.uk/visit/kent/stoneacre,Historic houses/mansions,3
323,Sutton Hoo,Woodbridge,Suffolk,52.095652,1.349691,Awe-inspiring Anglo-Saxon royal burial site,https://www.nationaltrust.org.uk/visit/suffolk/sutton-hoo,Historic houses/mansions,3
279,River Wey and Godalming Navigations and Dapdune Wharf,Guildford,Surrey,51.2421,-0.57808,Tranquil waterway running for nearly 20 miles through the heart of Surrey,https://www.nationaltrust.org.uk/visit/surrey/river-wey-and-godalming-navigations-and-dapdune-wharf,Historic houses/mansions,3
125,Farnborough Hall,near Banbury,Warwickshire,52.136902,-1.36541,Honey-coloured stone house with exquisite plasterwork and fine landscaped garden,https://www.nationaltrust.org.uk/visit/warwickshire/farnborough-hall,Historic landscaped gardens,4
23,Basildon Park,Reading,Berkshire,51.4995,-1.11858,An estate saved from almost certain demolition and lovingly revived ,https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/basildon-park,Historic houses/mansions,3
200,Leith Hill,Dorking,Surrey,51.176899,-0.37276,"Come and explore the trails through woodland, heathland and farmland, all with exceptional views.",https://www.nationaltrust.org.uk/visit/surrey/leith-hill,Forests/Woodlands,5
293,Shalford Mill,near Guildford,Surrey,51.2192,-0.56645,18th-century watermill with well-preserved machinery,https://www.nationaltrust.org.uk/visit/surrey/shalford-mill,Mills,3
381,Woolsthorpe Manor,Grantham,Lincolnshire,52.80876,-0.62985,Isaac Newton changed the world here,https://www.nationaltrust.org.uk/visit/nottinghamshire-lincolnshire/woolsthorpe-manor,Historic houses/mansions,3
311,Standen House and Garden,East Grinstead,West Sussex,51.103506,-0.01664,"Arts and Crafts family home with Morris & Co. interiors, set in a beautiful hillside garden",https://www.nationaltrust.org.uk/visit/sussex/standen-house-and-garden,Moors/Hills,4
271,Priory Cottage,Abingdon,Oxfordshire,51.620098,-1.32658,"Former monastic buildings, now converted into two houses",https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/priory-cottage,Historic houses/mansions,3
358,West Green House Garden,Hartley Wintney,Hampshire,51.3027,-0.9343,Celebrated garden with an intriguing collection of follies,https://www.nationaltrust.org.uk/visit/hampshire/west-green-house-garden,Castles,4
346,Upton House and Gardens,near Banbury,Warwickshire,52.1109,-1.46744,Lord and Lady Bearsted’s 1930s country retreat with dramatic terraced gardens and world-renowned art collection. ,https://www.nationaltrust.org.uk/visit/warwickshire/upton-house-and-gardens,Historic houses/mansions,3
378,Winkworth Arboretum,Godalming,Surrey,51.1614,-0.58113,A landscape arboretum reflecting the colours of each changing season,https://www.nationaltrust.org.uk/visit/surrey/winkworth-arboretum,Historic houses/mansions,3
6126,Hydon's Ball and Heath,Godalming,Surrey,51.152508,-0.6014,Memorial to Octavia Hill overlooking the Surrey Hills Area of Outstanding Natural Beauty,https://www.nationaltrust.org.uk/visit/surrey/hydons-ball-and-heath,Moors/Hills,4
6210,Darrow Wood,Harleston,Norfolk,52.455557,1.33221613,Discover this hidden historical site in the midst of surrounding farmland ,https://www.nationaltrust.org.uk/visit/norfolk/darrow-wood,Farmland,3
350,Wakehurst,Haywards Heath,West Sussex,51.064999,-0.08934,"Wild botanic garden, managed by Kew and home to the Millennium Seed Bank",https://www.nationaltrust.org.uk/visit/sussex/wakehurst,Mills,3
5351,Witley and Milford Commons,Witley,Surrey,51.155602,-0.66853,A rich and varied landscape buzzing with wildlife,https://www.nationaltrust.org.uk/visit/surrey/witley-and-milford-commons,Castles,4
291,Scotney Castle,Tunbridge Wells,Kent,51.092783,0.408198,"Ruined medieval castle. Victorian mansion house. Rolling parkland. Ancient woodland. Picturesque garden. With romance, drama and nature around every corner, Scotney is truly a castle for all seasons.",https://www.nationaltrust.org.uk/visit/kent/scotney-castle,Historic houses/mansions,3
244,Oakhurst Cottage,near Godalming,Surrey,51.132801,-0.62291,"Timber-framed home offering a rare insight into domestic life in the mid-19th century, with garden to explore",https://www.nationaltrust.org.uk/visit/surrey/oakhurst-cottage,Historic houses/mansions,3
299,Sissinghurst Castle Garden,near Cranbrook,Kent,51.11576,0.58287,"Historic, poetic, iconic: a refuge dedicated to beauty. Vita Sackville-West and Harold Nicolson fell in love with Sissinghurst Castle and created a world-renowned garden. ",https://www.nationaltrust.org.uk/visit/kent/sissinghurst-castle-garden,Castles,4
243,Nymans,near Haywards Heath,West Sussex,51.05228,-0.1993913," A garden lovers' home for all seasons, with an extensive yet intimate garden set around a romantic house and ruins. ",https://www.nationaltrust.org.uk/visit/sussex/nymans,Archaeological sites/ruins,5
249,Orford Ness National Nature Reserve,Orford,Suffolk,52.087399,1.54772,"Internationally important coastal nature reserve, with a fascinating 20th-century military history",https://www.nationaltrust.org.uk/visit/suffolk/orford-ness-national-nature-reserve,Coastline,5
6124,Frensham Little Pond,Frensham,Surrey,51.16990143,-0.77272665,Medieval bishops' fish pond in tranquil wildlife haven amidst precious heathland,https://www.nationaltrust.org.uk/visit/surrey/frensham-little-pond,Shops,2
348,The Vyne,Basingstoke,Hampshire,51.313783,-1.08401,"Explore a former Tudor powerhouse turned 17th-century family home, set in gardens, woodlands and wetlands. ",https://www.nationaltrust.org.uk/visit/hampshire/the-vyne,Forests/Woodlands,5
106,Hindhead Commons and the Devil's Punch Bowl,Hindhead,Surrey,51.113998,-0.72858,Spectacular views and walks in the Surrey Hills countryside,https://www.nationaltrust.org.uk/visit/surrey/hindhead-commons-and-the-devils-punch-bowl,Moors/Hills,4
295,Sheffield Park and Garden,Uckfield,East Sussex,51.0,0.0094,"Acres of Grade I listed landscaped garden and lakes, surrounded by historic parkland and woodland ",https://www.nationaltrust.org.uk/visit/sussex/sheffield-park-and-garden,Historic landscaped gardens,4
73,Chastleton,near Moreton-in-Marsh,Oxfordshire,51.960098,-1.63895,"Discover the myths and memories of an ancient country house, a compelling time capsule of 400 years of family life",https://www.nationaltrust.org.uk/visit/oxfordshire-buckinghamshire-berkshire/chastleton,Historic houses/mansions,3
6063,Swan Barn Farm,Woolbeding,West Sussex,51.087323,-0.703522,A quiet retreat of woodland and pasture only 30 seconds from Haslemere High Street,https://www.nationaltrust.org.uk/visit/surrey/swan-barn-farm,Forests/Woodlands,5
6158,Ludshott Commons,Nr Headley Down,Hampshire,51.1084,-0.77936,One of the largest remaining areas of heathland in east Hampshire,https://www.nationaltrust.org.uk/visit/hampshire/ludshott-commons,Castles,4
27,Belton Estate,Grantham,Lincolnshire,52.94313,-0.62015,Exploration and relaxation for the whole family,https://www.nationaltrust.org.uk/visit/nottinghamshire-lincolnshire/belton-estate,Historic houses/mansions,3
71,Charlecote Park,Warwick,Warwickshire,52.205101,-1.62103,A Victorian home set in landscaped deer park,https://www.nationaltrust.org.uk/visit/warwickshire/charlecote-park,Parks and open spaces,3
